owner_url,member_since,member_definitions,member_kudos,member_activity_count
https://cardano.ideascale.com/a/member/Sidney/3056768-48088,"Member since Friday, 18 September 2020 22:06","Developer, Entrepreneur, Marketing professional, Teacher, Other/Prefer not to say",11,62
https://cardano.ideascale.com/a/member/James-Tolley/3097904-48088,"Member since Wednesday, 28 July 2021 03:44","Developer, Entrepreneur",7,6
https://cardano.ideascale.com/a/member/Ashjaldridge/3073713-48088,"Member since Thursday, 4 March 2021 02:01","Entrepreneur, Marketing professional",3,7
https://cardano.ideascale.com/a/member/Fell-x27/3055670-48088,"Member since Wednesday, 16 September 2020 21:20","Developer, Stakepool operator",607,70
https://cardano.ideascale.com/a/member/quinn/3056339-48088,"Member since Thursday, 17 September 2020 16:49","Developer, Entrepreneur, Stakepool operator, Teacher",282,102
https://cardano.ideascale.com/a/member/rafalechang/3085234-48088,"Member since Tuesday, 20 April 2021 19:09","Developer, Entrepreneur, Stakepool operator",14,7
https://cardano.ideascale.com/a/member/Onvux/3101212-48088,"Member since Sunday, 22 August 2021 13:21","Developer, Entrepreneur",75,27
https://cardano.ideascale.com/a/member/Maarten-Menheere/3071849-48088,"Member since Sunday, 28 February 2021 10:16","Developer, Entrepreneur",60,95
https://cardano.ideascale.com/a/member/Maarten-Menheere/3071849-48088,"Member since Sunday, 28 February 2021 10:16","Developer, Entrepreneur",60,95
https://cardano.ideascale.com/a/member/Shawn-McMurdo/3055522-48088,"Member since Wednesday, 16 September 2020 19:50","Developer, Entrepreneur, Stakepool operator",60,24
https://cardano.ideascale.com/a/member/Benjamin-Chatwin/3099172-48088,"Member since Thursday, 12 August 2021 17:26",Entrepreneur,140,3
https://cardano.ideascale.com/a/member/Jerome-Richmond/3101232-48088,"Member since Sunday, 22 August 2021 14:46","Developer, Entrepreneur",7,9
https://cardano.ideascale.com/a/member/Matthias-Sieber/3073739-48088,"Member since Thursday, 4 March 2021 03:47","Developer, Entrepreneur, Teacher",70,197
https://cardano.ideascale.com/a/member/David-Watts/3073107-48088,"Member since Wednesday, 3 March 2021 04:22","Developer, Entrepreneur",21,129
https://cardano.ideascale.com/a/member/Mitch-Notarnicola/3070147-48088,"Member since Monday, 22 February 2021 03:43",Other/Prefer not to say,0,4
https://cardano.ideascale.com/a/member/kishondaniels/3081427-48088,"Member since Tuesday, 30 March 2021 15:07","Developer, Entrepreneur",0,8
https://cardano.ideascale.com/a/member/Jim-Lee/3077905-48088,"Member since Saturday, 13 March 2021 15:19",Stakepool operator,0,4
https://cardano.ideascale.com/a/member/simazhong/3092531-48088,"Member since Wednesday, 9 June 2021 04:18",Entrepreneur,1,8
https://cardano.ideascale.com/a/member/Tom-Wells/3097987-48088,"Member since Wednesday, 28 July 2021 22:23","Developer, Entrepreneur",10,18
